Unnamed: 0,country,year,Food supply quantity (kg/capita/yr)_Cereals - Excluding Beer,Food supply quantity (kg/capita/yr)_Starchy Roots,rolling_std
0,AFG,2010,202.73,6.69,
1,AFG,2011,197.29,5.72,
2,AFG,2012,190.31,6.4,
3,AFG,2013,193.09,14.55,
4,AFG,2014,190.09,13.46,5.3456823699131295
5,AFG,2015,195.92,13.96,3.2428691000409167
6,AFG,2016,193.0,15.02,2.3925446704294324
7,AFG,2017,196.14,23.06,2.488105705150042
8,AFG,2018,188.51,23.6,3.415226200414881
9,AFG,2019,184.12,26.68,5.165106000848421
10,AFG,2020,189.06,21.96,4.58911538316488
11,AFG,2021,191.66,22.49,4.418180621024968
12,AFG,2022,195.22,25.14,4.10100963178589
13,BGD,2010,274.19,46.95,37.860948218447966
14,BGD,2011,278.27,47.4,46.21992157068201
15,BGD,2012,278.22,48.06,45.75655876483715
16,BGD,2013,273.69,48.7,36.231713594584434
17,BGD,2014,272.78,49.29,2.6190360822245444
18,BGD,2015,278.61,50.07,2.833060182910713
19,BGD,2016,267.7,50.9,4.475907729164481
20,BGD,2017,274.36,51.55,3.905773930989141
21,BGD,2018,283.25,52.36,5.897978467237242
22,BGD,2019,273.79,51.24,5.804943582843342
23,BGD,2020,278.99,49.24,5.857403008159338
24,BGD,2021,259.59,52.33,8.920262327980852
25,BGD,2022,263.1,53.2,10.142942373887095
26,BTN,2019,268.44,52.8,7.845034735423082
27,BTN,2020,271.9,56.15,7.584617986424542
28,BTN,2021,274.47,50.92,6.139067518768197
29,BTN,2022,273.2,50.03,4.572419490816048
30,KHM,2010,242.5,130.29,13.38415555797208
31,KHM,2011,238.47,180.0,17.992800504646176
32,KHM,2012,242.43,166.09,17.99116255276453
33,KHM,2013,242.64,159.77,14.28066770147661
34,KHM,2014,240.28,231.17,1.840877508146053
35,KHM,2015,227.72,275.84,6.159908278537777
36,KHM,2016,226.46,281.64,8.112932885214716
37,KHM,2017,229.92,261.54,7.504137525392147
38,KHM,2018,230.99,257.05,5.445813070607434
39,KHM,2019,237.96,265.83,4.478213929682101
40,KHM,2020,247.66,265.5,8.412004517354866
41,KHM,2021,252.44,250.93,10.00206378703908
42,KHM,2022,250.25,247.03,9.073800196169095
43,IND,2010,184.27,29.61,28.627412212772544
44,IND,2011,187.92,29.87,35.130615849996126
45,IND,2012,182.46,30.57,36.46385840801821
46,IND,2013,185.71,29.72,29.2089159333242
47,IND,2014,184.25,30.6,2.033905110864526
48,IND,2015,178.79,28.64,3.4538862170026583
49,IND,2016,184.47,28.88,2.692151555912298
50,IND,2017,183.54,29.24,2.66756818094702
51,IND,2018,178.48,30.13,3.007711754806489
52,IND,2019,179.73,29.46,2.7991016415988224
53,IND,2020,183.48,29.68,2.6546280342076347
54,IND,2021,181.35,30.68,2.246581848052987
55,IND,2022,181.13,30.6,1.878518032918837
56,IDN,2010,251.45,103.37,31.345929879332004
57,IDN,2011,256.64,103.68,39.5212645293644
58,IDN,2012,257.19,104.52,40.51315860310072
59,IDN,2013,256.91,101.01,33.36505926864197
60,IDN,2014,249.45,99.11,3.615275923078208
61,IDN,2015,253.39,92.61,3.32133708015144
62,IDN,2016,254.89,86.07,3.1559911279959243
63,IDN,2017,261.62,80.45,4.487807928152533
64,IDN,2018,259.84,68.71,4.928120331321922
65,IDN,2019,243.06,67.39,7.270656779135478
66,IDN,2020,228.3,67.76,13.908332754143812
67,IDN,2021,223.61,65.49,17.478177250502718
68,IDN,2022,211.13,56.12,18.77479347423009
69,IRN,2010,193.33,55.37,18.732235050842053
70,IRN,2011,176.66,55.67,21.52467955626745
71,IRN,2012,184.1,53.36,19.354648795573627
72,IRN,2013,185.62,52.84,13.12797280618759
73,IRN,2014,194.31,54.3,7.255048587018655
74,IRN,2015,194.29,52.92,7.480142378324176
75,IRN,2016,194.98,50.05,5.329094669829064
76,IRN,2017,193.55,38.04,3.906884948395609
77,IRN,2018,192.35,30.36,1.0014389646902864
78,IRN,2019,188.39,31.88,2.6051333938975456
79,IRN,2020,195.78,30.2,2.899370621359077
80,IRN,2021,190.49,21.91,2.8312046905867194
81,IRN,2022,195.11,25.21,3.102270136529092
82,LAO,2010,281.61,146.86,39.99738716466364
83,LAO,2011,283.44,149.92,48.6472951971638
84,LAO,2012,278.7,173.26,48.503049904103904
85,LAO,2013,279.71,188.32,38.39382411273968
86,LAO,2014,281.31,141.97,1.8279305238408572
87,LAO,2015,269.51,165.43,5.352992620954142
88,LAO,2016,270.97,170.29,5.4005370103342285
89,LAO,2017,268.99,162.2,5.925227421794894
90,LAO,2018,265.22,181.64,6.036671268173443
91,LAO,2019,261.1,193.83,3.9960818309929222
92,LAO,2020,245.85,208.73,10.005180158297676
93,LAO,2021,252.83,173.68,9.403269112388244
94,LAO,2022,254.25,176.07,7.533919962409744
95,MYS,2010,190.0,13.62,28.91304082935592
96,MYS,2011,194.45,14.07,32.37454061450152
97,MYS,2012,195.42,15.66,33.067316945891044
98,MYS,2013,186.39,15.17,28.26632926292374
99,MYS,2014,176.33,17.09,7.715216782438831
100,MYS,2015,170.08,26.68,11.14114581181071
101,MYS,2016,168.5,21.54,11.408134378592738
102,MYS,2017,175.46,20.22,7.02761481585547
103,MYS,2018,178.71,21.71,4.335657966218288
104,MYS,2019,178.33,22.09,4.702332399993851
105,MYS,2020,181.9,22.69,5.06069659237055
106,MYS,2021,176.11,24.1,2.5394231628521853
107,MYS,2022,182.64,25.44,2.6971040024495814
108,MDV,2010,132.23,24.28,21.41483527837733
109,MDV,2011,138.94,24.08,24.690411701712016
110,MDV,2012,138.81,26.34,23.665648733978145
111,MDV,2013,140.33,24.15,20.39638816065345
112,MDV,2014,146.26,31.95,4.996401705232246
113,MDV,2015,144.67,30.29,3.442712593297124
114,MDV,2016,151.74,36.0,5.12869086610273
115,MDV,2017,138.8,31.43,5.131398444873047
116,MDV,2018,131.45,28.16,7.745665239348151
117,MDV,2019,129.68,34.99,9.192419159288129
118,MDV,2020,169.76,18.76,16.678437576705004
119,MDV,2021,165.56,23.98,19.18009124066005
120,MDV,2022,170.62,27.04,20.955211285025072
121,MMR,2010,218.23,22.42,31.50010476173111
122,MMR,2011,212.76,24.27,25.80378421859919
123,MMR,2012,213.92,21.26,25.82003718045397
124,MMR,2013,213.11,19.93,19.747933309590184
125,MMR,2014,214.34,18.95,2.192639961329313
126,MMR,2015,214.13,18.98,0.6824734427203347
127,MMR,2016,215.17,18.89,0.7433236172881524
128,MMR,2017,219.38,17.95,2.435288483941457
129,MMR,2018,216.66,16.81,2.16684794113883
130,MMR,2019,211.12,20.07,3.0558910320915977
131,MMR,2020,280.15,16.64,29.02944935750611
132,MMR,2021,284.37,14.12,36.5972311794213
133,MMR,2022,290.38,12.77,39.14868235330534
134,NPL,2010,228.12,81.79,36.47459622805988
135,NPL,2011,231.06,81.57,30.565800005888907
136,NPL,2012,230.11,82.39,31.64445875662915
137,NPL,2013,231.37,84.67,26.958834730010278
138,NPL,2014,235.49,84.78,2.698267962974356
139,NPL,2015,235.8,85.35,2.671091537183461
140,NPL,2016,236.44,86.61,2.886948215679078
141,NPL,2017,237.31,88.4,2.295053376288225
142,NPL,2018,238.25,89.9,1.1299867255907816
143,NPL,2019,238.32,92.6,1.107217232529883
144,NPL,2020,237.54,95.08,0.7697856844674362
145,NPL,2021,239.69,93.05,0.9303601453258364
146,NPL,2022,244.89,96.64,2.983348789533336
147,PAK,2010,141.58,14.87,44.15699978485877
148,PAK,2011,141.63,14.91,54.34595504727124
149,PAK,2012,139.66,15.01,55.53867256245899
150,PAK,2013,141.04,15.2,46.47788345008886
151,PAK,2014,143.36,13.54,1.32942844864053
152,PAK,2015,143.43,15.53,1.602632209851842
153,PAK,2016,144.42,15.46,1.963318619087165
154,PAK,2017,144.6,14.43,1.4184498581387648
155,PAK,2018,141.32,15.8,1.3044079116801786
156,PAK,2019,137.13,16.75,3.1096060843866278
157,PAK,2020,138.06,15.68,3.475741647483987
158,PAK,2021,136.54,20.51,3.382676455124741
159,PAK,2022,129.96,25.71,4.146808411303367
160,PHL,2010,218.8,17.8,37.42460981760599
161,PHL,2011,229.05,17.05,49.01560384204242
162,PHL,2012,229.82,17.22,50.98026657443089
163,PHL,2013,233.74,17.47,44.12558418876771
164,PHL,2014,245.84,18.05,9.756479897996874
165,PHL,2015,253.66,18.53,10.850959404587863
166,PHL,2016,233.07,18.92,10.10631881547448
167,PHL,2017,240.55,19.45,8.642978074715474
168,PHL,2018,242.99,18.75,7.517683818837527
169,PHL,2019,264.37,19.49,12.224709403499538
170,PHL,2020,271.41,21.01,16.498561149385385
171,PHL,2021,268.89,18.99,14.732267985615982
172,PHL,2022,271.57,19.02,12.01627562932888
173,LKA,2010,224.98,18.26,19.926644976011524
174,LKA,2011,224.33,18.85,25.20136861362909
175,LKA,2012,225.49,18.9,24.831496531623177
176,LKA,2013,233.27,19.64,20.25303236555005
177,LKA,2014,236.52,18.86,5.591043730827206
178,LKA,2015,240.49,21.03,6.988032627286496
179,LKA,2016,245.36,21.05,7.511619665559393
180,LKA,2017,255.03,20.39,8.507410299263556
181,LKA,2018,249.25,20.38,7.254291833116038
182,LKA,2019,251.67,20.14,5.638572514388061
183,LKA,2020,250.73,18.84,3.531376502160516
184,LKA,2021,246.96,22.25,2.990688883854568
185,LKA,2022,247.86,18.77,1.950212808903688
186,THA,2010,205.38,11.61,19.740411596519884
187,THA,2011,201.38,11.19,24.801893476104244
188,THA,2012,204.38,14.17,23.980982465279176
189,THA,2013,203.11,13.85,19.86677175587497
190,THA,2014,193.54,13.45,4.724935978406104
191,THA,2015,193.63,14.3,5.242448855261978
192,THA,2016,191.6,12.86,5.999322461748379
193,THA,2017,188.29,12.48,5.515861673396126
194,THA,2018,192.88,12.07,2.220713849202823
195,THA,2019,191.01,13.63,2.061181699909419
196,THA,2020,196.38,12.63,2.952028116404244
197,THA,2021,201.86,13.33,5.248983711161628
198,THA,2022,204.24,13.61,5.67672264603779
199,TLS,2010,220.46,56.55,11.124891010703667
200,TLS,2011,217.64,49.7,10.428033371639748
201,TLS,2012,226.41,46.14,10.624877411058868
202,TLS,2013,223.72,48.24,8.627646260714844
203,TLS,2014,231.32,48.51,5.301169682251669
204,TLS,2015,221.09,46.73,5.20528865674366
205,TLS,2016,220.16,45.42,4.5062345700178446
206,TLS,2017,226.22,44.63,4.487284256655012
207,TLS,2018,216.23,40.49,5.855282230603814
208,TLS,2019,190.63,39.2,14.008230794787371
209,TLS,2020,192.87,37.17,16.361038169994963
210,TLS,2021,218.34,35.94,16.074590819054535
211,TLS,2022,218.65,36.61,14.287696805294868
212,VNM,2010,268.7,17.06,31.430600853308977
213,VNM,2011,267.69,18.24,33.57390579006289
214,VNM,2012,266.58,18.48,26.937614408109894
215,VNM,2013,269.97,17.51,22.210359519827787
216,VNM,2014,280.29,17.57,5.534458419755163
217,VNM,2015,277.03,17.93,6.033483239389828
218,VNM,2016,274.99,17.13,5.494599166454034
219,VNM,2017,275.45,16.72,3.745594745830967
220,VNM,2018,266.64,17.05,5.052850680556155
221,VNM,2019,270.24,17.51,4.30657056136287
222,VNM,2020,274.54,18.41,3.821958921809277
223,VNM,2021,266.52,17.79,4.227093564140502
224,VNM,2022,260.24,17.9,5.276938506368895
