areaCode,year,ProcessingValue
ARM,2015,253172.808798
ARM,2016,187058.236465
ARM,2017,302088.718337
ARM,2018,300469.014693
ARM,2019,294922.279871
ARM,2020,343241.196432
ARM,2021,346908.611248
BGD,2012,249808.744409
BGD,2018,718222.475005
BGD,2020,854325.083976
GEO,2000,249.385723
GEO,2001,274.518692
GEO,2002,270.504407
GEO,2003,361.894715
GEO,2004,467.440083
GEO,2005,517.209289
GEO,2006,478.44604
GEO,2007,504.876924
GEO,2008,416.408367
GEO,2009,518.816875
GEO,2010,629.47416
GEO,2011,778.170982
GEO,2012,885.08836
GEO,2013,1202.389407
GEO,2014,1479.758436
GEO,2015,1175.299086
GEO,2016,1269.958485
GEO,2017,1483.431537
GEO,2018,1530.801886
GEO,2019,1792.720169
GEO,2020,1865.493215
GEO,2021,2399.053743
IND,2008,762307.51622
IND,2009,860381.413372
IND,2010,1086549.797581
IND,2011,1256547.655818
IND,2012,1346186.591232
IND,2013,1483385.453508
IND,2014,1575417.669065
IND,2015,1862164.657931
IND,2016,2187669.495178
IND,2017,2423921.149324
IND,2018,2650082.203765
IND,2019,2684555.338386
IND,2020,2779622.454678
IND,2021,3370936.657004
ISR,2000,10607.2588
ISR,2001,10464.863765
ISR,2002,10328.523317
ISR,2003,10169.84632
ISR,2004,9742.412581
ISR,2005,10256.814346
ISR,2006,10971.120743
ISR,2007,12021.23491
ISR,2008,13403.56241
ISR,2009,13999.638856
ISR,2010,14064.828939
ISR,2011,15165.410248
ISR,2012,15584.405867
ISR,2013,16718.013505
ISR,2014,16713.17825
ISR,2015,17297.179037
ISR,2016,18453.441277
ISR,2017,19599.921345
ISR,2018,20366.149332
ISR,2019,21122.556215
ISR,2020,20529.467051
ISR,2021,20727.061297
JPN,2000,12956329.865345
JPN,2001,12816777.550329
JPN,2002,12815318.991317
JPN,2003,12560197.889059
JPN,2004,12303175.660124
JPN,2005,11987136.576883
JPN,2006,11599287.220296
JPN,2007,12143601.148865
KAZ,2009,372914.177468
KAZ,2010,489108.4
KAZ,2011,574222.2
KAZ,2012,638465.2
KAZ,2013,833689
KAZ,2014,967958.6
KAZ,2015,989302.7
KAZ,2016,1201229.300285
KAZ,2017,1360336.2
KAZ,2018,1456414.2
KAZ,2019,1659738.7
KAZ,2020,1922610.46429
KAZ,2021,2378332.997066
LAO,2015,3190534.639209
LAO,2016,3337727.463655
LAO,2017,3499695.007039
MYS,2005,13318.363946
MYS,2006,14047.230239
MYS,2007,15285.060073
MYS,2008,20583.320409
MYS,2009,18675.670173
MYS,2010,21917.680119
MYS,2011,24209.157276
MYS,2012,27801.23543
MYS,2013,28782.128037
MYS,2014,34885.363545
MYS,2015,30884.391349
MYS,2016,32063.41577
MYS,2017,35568.491298
MYS,2018,34965.809629
MYS,2019,35517.917581
MYS,2020,37946.237106
MYS,2021,43614.950394
MNG,2003,35332.987967
MNG,2004,45033.172913
MNG,2005,64126.476431
MNG,2006,100608.258565
MNG,2007,137677.199142
MNG,2008,219460.789093
MNG,2009,304324.012499
MNG,2010,332514.336868
MNG,2011,382853.758891
MNG,2012,296691.691182
MNG,2013,463416.512728
MNG,2014,467841.128251
MNG,2015,996189.105121
MNG,2016,917175.996938
MNG,2017,1079917.441112
MNG,2018,1366542.082286
MNG,2019,1660789.891544
MNG,2020,1855883.353927
MNG,2021,1978227.981844
OMN,2011,221.257337
OMN,2012,191.272178
OMN,2013,174.886551
OMN,2014,143.817907
OMN,2015,263.591075
OMN,2016,266.943721
OMN,2017,233.719789
OMN,2018,227.529496
OMN,2019,193.388373
OMN,2020,173.488795
PAK,2016,735372.084608
PAK,2017,805217.217199
PAK,2018,911422.075217
KOR,2000,12367535.162947
KOR,2001,12326229.656724
KOR,2002,13259776.600662
KOR,2003,13226541.030963
KOR,2004,15157530.383219
KOR,2005,15028181.02579
KOR,2006,14660762.188609
KOR,2007,16914168.563619
SGP,2000,1091.093548
SGP,2001,1177.788276
SGP,2002,1136.047551
SGP,2003,1139.352064
SGP,2004,1332.262778
SGP,2005,1322.275152
SGP,2006,1432.916897
SGP,2007,1472.495072
SGP,2008,1766.770835
SGP,2009,2084.453974
SGP,2010,2623.801212
SGP,2011,2998.162741
SGP,2012,3339.571095
SGP,2013,3253.3418
SGP,2014,3845.350169
SGP,2015,4177.23261
SGP,2016,4157.115529
SGP,2017,4439.240621
SGP,2018,4164.04313
SGP,2019,4755.203045
SGP,2020,4231.90406
SGP,2021,5276.284109
LKA,2013,444204.465493
LKA,2014,569142.845475
LKA,2015,429843.439225
LKA,2016,514728.949504
LKA,2017,574218.945771
LKA,2018,718893.264644
LKA,2019,777651.133459
LKA,2020,770635.374566
LKA,2021,956914.19603
THA,2016,756372.443911
THA,2017,821267.52633
THA,2018,858471.778489
UZB,2013,4182863.5
UZB,2014,5724484.4
UZB,2015,7847207
UZB,2016,9063541.9
UZB,2017,8988831.3
UZB,2018,9732774.528255
UZB,2019,13071210.194028
UZB,2020,15203653.059946
UZB,2021,18935059.198483
ARM,2015,529.740764
ARM,2016,387.515383
ARM,2017,616.281781
ARM,2018,594.774383
ARM,2019,565.783936
ARM,2020,635.000228
ARM,2021,651.448904
BGD,2012,3669.694917
BGD,2018,8075.724265
BGD,2020,9224.303917
GEO,2000,189.231287
GEO,2001,186.541045
GEO,2002,178.213605
GEO,2003,220.083551
GEO,2004,284.039148
GEO,2005,304.873553
GEO,2006,299.997108
GEO,2007,302.209341
GEO,2008,227.721783
GEO,2009,295.228705
GEO,2010,327.226276
GEO,2011,373.446521
GEO,2012,462.002465
GEO,2013,646.258007
GEO,2014,750.789248
GEO,2015,517.903101
GEO,2016,625.477239
GEO,2017,592.048075
GEO,2018,565.85941
GEO,2019,605.739699
GEO,2020,555.531211
GEO,2021,583.092855
IND,2008,16254.46708
IND,2009,17546.91678
IND,2010,19993.61958
IND,2011,22080.272538
IND,2012,22362.532668
IND,2013,23742.672764
IND,2014,24817.967598
IND,2015,29027.407875
IND,2016,33847.001216
IND,2017,36665.838138
IND,2018,38561.245828
IND,2019,39406.351813
IND,2020,40552.650232
IND,2021,45035.001393
ISR,2000,4043.300235
ISR,2001,3918.743505
ISR,2002,3656.639744
ISR,2003,3745.224397
ISR,2004,3500.524582
ISR,2005,3677.923376
ISR,2006,3739.859555
ISR,2007,3916.238707
ISR,2008,4147.062873
ISR,2009,4072.598428
ISR,2010,4243.088067
ISR,2011,4540.413232
ISR,2012,4367.913861
ISR,2013,4730.340265
ISR,2014,4648.559114
ISR,2015,4450.198286
ISR,2016,4666.070216
ISR,2017,5193.335289
ISR,2018,5514.992589
ISR,2019,5649.969759
ISR,2020,5807.451293
ISR,2021,6086.634238
JPN,2000,84245.968932
JPN,2001,84608.489806
JPN,2002,86248.342327
JPN,2003,87440.331271
JPN,2004,88489.524473
JPN,2005,88650.204072
JPN,2006,88725.078969
JPN,2007,94835.351149
KAZ,2009,2909.26495
KAZ,2010,3245.303025
KAZ,2011,3217.61734
KAZ,2012,3357.775195
KAZ,2013,4051.870918
KAZ,2014,4468.794594
KAZ,2015,4461.778453
KAZ,2016,4352.887743
KAZ,2017,4556.637665
KAZ,2018,4426.047454
KAZ,2019,4730.26991
KAZ,2020,4919.581766
KAZ,2021,5151.175499
LAO,2015,391.57726
LAO,2016,403.878013
LAO,2017,421.765467
MYS,2005,4150.898992
MYS,2006,4281.45854
MYS,2007,4546.634867
MYS,2008,5670.285079
MYS,2009,5219.842709
MYS,2010,6042.074974
MYS,2011,6370.618862
MYS,2012,7227.174886
MYS,2013,7473.774805
MYS,2014,8835.646447
MYS,2015,7907.921974
MYS,2016,8255.100118
MYS,2017,8823.738589
MYS,2018,8756.684833
MYS,2019,8881.507353
MYS,2020,9479.399081
MYS,2021,10383.838331
MNG,2003,142.625056
MNG,2004,159.635266
MNG,2005,135.83766
MNG,2006,190.335671
MNG,2007,234.407906
MNG,2008,277.909476
MNG,2009,352.874332
MNG,2010,324.573161
MNG,2011,287.712913
MNG,2012,180.842663
MNG,2013,232.537821
MNG,2014,209.652261
MNG,2015,505.600401
MNG,2016,434.883636
MNG,2017,492.115334
MNG,2018,625.906102
MNG,2019,678.425728
MNG,2020,722.185906
MNG,2021,715.903968
